document_id,source,component_json,relation_json,component_record_count,component_claim_count,component_premise_count,component_non_argumentative_count,relation_record_count,relation_support_count,relation_attack_count,relation_none_count
Tuberculosis Testing - Medical Clinical Policy Bulletins _ A,aetna,Tuberculosis_Testing_-_Medical_Clinical_Policy_Bulletins___A.json,Tuberculosis_Testing_-_Medical_Clinical_Policy_Bulletins___A.json,349,94,176,79,101,78,2,21
Urinary Incontinence - Medical Clinical Policy Bulletins _ A,aetna,Urinary_Incontinence_-_Medical_Clinical_Policy_Bulletins___A.json,Urinary_Incontinence_-_Medical_Clinical_Policy_Bulletins___A.json,299,78,132,89,106,58,0,48
Varicose Veins - Medical Clinical Policy Bulletins _ Aetna.h,aetna,Varicose_Veins_-_Medical_Clinical_Policy_Bulletins___Aetna.h.json,Varicose_Veins_-_Medical_Clinical_Policy_Bulletins___Aetna.h.json,104,67,37,0,111,72,22,17
Vitiligo - Medical Clinical Policy Bulletins _ Aetna.html,aetna,Vitiligo_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,Vitiligo_-_Medical_Clinical_Policy_Bulletins___Aetna.html.json,72,5,67,0,201,87,23,91
Voice Therapy - Medical Clinical Policy Bulletins _ Aetna.ht,aetna,Voice_Therapy_Medical_Clinical_Policy_Bulletins_Aetna.json,Voice_Therapy_-_Medical_Clinical_Policy_Bulletins___Aetna.ht.json,23,13,6,4,18,6,0,12
NCD - Bariatric Surgery for Treatment of Co-Morbid Conditions Related to Morbid Obesity (100.1),cms_ncd,NCD_Bariatric_Surgery_for_Treatment_of_Co-Morbid_Conditions_Related_to_Morbid_Obesity_(100.1).json,NCD_Bariatric_Surgery_for_Treatment_of_Co-Morbid_Conditions_Related_to_Morbid_Obesity_(100.1).json,33,14,6,13,17,8,2,7
NCD - Colorectal Cancer Screening Tests (210.3),cms_ncd,NCD_Colorectal_Cancer_Screening_Tests_(210.3).json,NCD_Colorectal_Cancer_Screening_Tests_(210.3).json,23,11,6,6,18,2,0,16
NCD - Computed Tomography (220.1),cms_ncd,NCD_Computed_Tomography_(220.1).json,NCD_Computed_Tomography_(220.1).json,19,5,2,12,6,2,0,4
NCD - Continuous Positive Airway Pressure (CPAP) Therapy For Obstructive Sleep Apnea (OSA) (240.4),cms_ncd,NCD_Continuous_Positive_Airway_Pressure_(CPAP)_Therapy_For_Obstructive_Sleep_Apnea_(OSA)_(240.4).json,NCD_Continuous_Positive_Airway_Pressure_(CPAP)_Therapy_For_Obstructive_Sleep_Apnea_(OSA)_(240.4).json,26,12,3,11,9,2,0,7
NCD - Diathermy Treatment (150.5),cms_ncd,NCD_Diathermy_Treatment_(150.5).json,NCD_Diathermy_Treatment_(150.5).json,2,1,1,0,1,1,0,0
NCD - Digoxin Therapeutic Drug Assay (190.24),cms_ncd,NCD_Digoxin_Therapeutic_Drug_Assay_(190.24).json,NCD_Digoxin_Therapeutic_Drug_Assay_(190.24).json,10,2,2,6,4,2,0,2
NCD - Magnetic Resonance Imaging (220.2),cms_ncd,NCD_Magnetic_Resonance_Imaging_(220.2).json,NCD_Magnetic_Resonance_Imaging_(220.2).json,63,24,15,24,37,16,0,21
NCD - Magnetic Resonance Spectroscopy - RETIRED (220.2.1),cms_ncd,NCD_Magnetic_Resonance_Spectroscopy_RETIRED_(220.2.1).json,NCD_-_Magnetic_Resonance_Spectroscopy_-_RETIRED_(220.2.1).json,2,2,0,0,0,0,0,0
NCD - Prostate Specific Antigen (190.31),cms_ncd,NCD_Prostate_Specific_Antigen_(190.31).json,NCD_Prostate_Specific_Antigen_(190.31).json,12,2,9,1,18,1,0,17
NCD - Screening for Hepatitis B Virus (HBV) Infection (210.6),cms_ncd,NCD_Screening_for_Hepatitis_B_Virus_(HBV)_Infection_(210.6).json,NCD_Screening_for_Hepatitis_B_Virus_(HBV)_Infection_(210.6).json,19,8,3,8,9,6,0,3
ablative-treatment-spinal-pain,uhc,ablative-treatment-spinal-pain.json,ablative-treatment-spinal-pain.json,126,25,84,17,252,91,70,91
abnormal-uterine-bleeding-uterine-fibroids,uhc,abnormal-uterine-bleeding-uterine-fibroids.json,abnormal-uterine-bleeding-uterine-fibroids.json,77,20,33,24,98,23,7,68
antiemetics-oncology,uhc,antiemetics-oncology.json,antiemetics-oncology.json,47,19,18,10,54,24,0,30
autologous-cellular-therapy,uhc,autologous-cellular-therapy.json,autologous-cellular-therapy.json,150,33,44,73,132,90,10,32
bariatric-surgery,uhc,bariatric-surgery.json,bariatric-surgery.json,231,26,205,0,225,103,6,116
breast-imaging-screening-diagnosing-cancer,uhc,breast-imaging-screening-diagnosing-cancer.json,breast-imaging-screening-diagnosing-cancer.json,200,54,74,72,222,123,29,70
breast-reduction-surgery,uhc,breast-reduction-surgery.json,breast-reduction-surgery.json,20,3,6,11,18,13,0,5
brow-ptosis-eyelid-repair,uhc,brow-ptosis-eyelid-repair.json,brow-ptosis-eyelid-repair.json,60,15,13,32,39,17,1,21
cardiovascular-disease-risk-tests,uhc,cardiovascular-disease-risk-tests.json,cardiovascular-disease-risk-tests.json,134,6,128,0,384,382,2,0
carrier-testing-for-genetic-diseases,uhc,carrier-testing-for-genetic-diseases.json,carrier-testing-for-genetic-diseases.json,190,23,105,62,150,63,6,81
chemotherapy-observation-inpatient-hospitalization,uhc,chemotherapy-observation-inpatient-hospitalization.json,chemotherapy-observation-inpatient-hospitalization.json,100,16,29,55,87,27,3,57
chromosome-microarray-testing,uhc,chromosome-microarray-testing.json,chromosome-microarray-testing.json,154,28,126,0,378,310,12,56
electric-tumor-treatment-field-therapy,uhc,electric-tumor-treatment-field-therapy.json,electric-tumor-treatment-field-therapy.json,76,15,61,0,183,159,7,17
electrical-ultrasound-bone-growth-stimulators,uhc,electrical-ultrasound-bone-growth-stimulators.json,electrical-ultrasound-bone-growth-stimulators.json,68,31,37,0,111,91,10,10
spinal-fusion-decompression,uhc,spinal-fusion-decompression.json,spinal-fusion-decompression.json,72,26,19,27,42,16,0,26
